country,label,sameAsCountry
http://worldbank.org/Country/AFE,AFE,
http://worldbank.org/Country/AFW,AFW,
http://worldbank.org/Country/ARB,ARB,
http://worldbank.org/Country/CEB,CEB,
http://worldbank.org/Country/CHI,CHI,
http://worldbank.org/Country/CSS,CSS,
http://worldbank.org/Country/EAP,EAP,
http://worldbank.org/Country/EAR,EAR,
http://worldbank.org/Country/EAS,EAS,
http://worldbank.org/Country/ECA,ECA,
http://worldbank.org/Country/ECS,ECS,
http://worldbank.org/Country/EMU,EMU,
http://worldbank.org/Country/EUU,EUU,
http://worldbank.org/Country/FCS,FCS,
http://worldbank.org/Country/HIC,HIC,
http://worldbank.org/Country/HPC,HPC,
http://worldbank.org/Country/IBD,IBD,
http://worldbank.org/Country/IBT,IBT,
http://worldbank.org/Country/IDA,IDA,
http://worldbank.org/Country/IDB,IDB,
http://worldbank.org/Country/IDX,IDX,
http://worldbank.org/Country/LAC,LAC,
http://worldbank.org/Country/LCN,LCN,
http://worldbank.org/Country/LDC,LDC,
http://worldbank.org/Country/LIC,LIC,
http://worldbank.org/Country/LMC,LMC,
http://worldbank.org/Country/LMY,LMY,
http://worldbank.org/Country/LTE,LTE,
http://worldbank.org/Country/MEA,MEA,
http://worldbank.org/Country/MIC,MIC,
http://worldbank.org/Country/MNA,MNA,
http://worldbank.org/Country/NAC,NAC,
http://worldbank.org/Country/OED,OED,
http://worldbank.org/Country/OSS,OSS,
http://worldbank.org/Country/PRE,PRE,
http://worldbank.org/Country/PSS,PSS,
http://worldbank.org/Country/PST,PST,
http://worldbank.org/Country/SAS,SAS,
http://worldbank.org/Country/SSA,SSA,
http://worldbank.org/Country/SSF,SSF,
http://worldbank.org/Country/SST,SST,
http://worldbank.org/Country/TEA,TEA,
http://worldbank.org/Country/TEC,TEC,
http://worldbank.org/Country/TLA,TLA,
http://worldbank.org/Country/TMN,TMN,
http://worldbank.org/Country/TSA,TSA,
http://worldbank.org/Country/TSS,TSS,
http://worldbank.org/Country/UMC,UMC,
http://worldbank.org/Country/WLD,WLD,
http://worldbank.org/Country/XKX,XKX,
